,0,1
0,0,109
1,0,252
2,0,417
3,0,49
4,0,446
5,0,318
6,0,41
7,0,162
8,0,22
9,0,241
10,0,316
11,0,217
12,1,78
13,1,265
14,1,25
15,2,442
16,2,321
17,3,355
18,3,147
19,4,202
20,4,169
21,4,114
22,5,71
23,5,173
24,6,118
25,6,313
26,6,423
27,6,303
28,7,302
29,7,258
30,7,324
31,8,41
32,8,115
33,8,407
34,8,349
35,8,397
36,9,97
37,9,262
38,9,31
39,9,438
40,9,108
41,9,141
42,10,162
43,10,109
44,10,22
45,10,115
46,10,423
47,10,173
48,10,55
49,10,186
50,10,76
51,10,88
52,10,316
53,11,74
54,11,203
55,11,252
56,11,88
57,11,424
58,11,149
59,11,241
60,15,345
61,15,191
62,15,389
63,15,36
64,16,448
65,17,53
66,17,185
67,18,205
68,19,291
69,19,162
70,19,89
71,20,57
72,20,416
73,20,152
74,20,427
75,20,86
76,20,299
77,20,130
78,20,328
79,21,55
80,21,186
81,26,302
82,26,301
83,26,147
84,26,279
85,26,4
86,26,334
87,26,246
88,29,431
89,29,253
90,30,63
91,30,22
92,30,162
93,31,130
94,31,361
95,31,339
96,31,196
97,31,9
98,32,55
99,33,74
100,33,203
101,33,314
102,33,252
103,33,49
104,33,446
105,33,263
106,35,290
107,36,15
108,36,333
109,36,256
110,36,234
111,36,80
112,36,202
113,37,312
114,37,147
115,37,180
116,37,81
117,37,290
118,37,246
119,37,70
120,39,173
121,39,313
122,40,302
123,41,162
124,41,318
125,41,0
126,41,63
127,41,115
128,41,206
129,41,8
130,41,74
131,41,316
132,42,130
133,42,328
134,42,361
135,43,263
136,47,147
137,47,302
138,47,14
139,47,58
140,47,333
141,47,124
142,47,245
143,47,388
144,47,234
145,47,80
146,47,212
147,48,16
148,48,301
149,48,367
150,48,378
151,48,410
152,49,241
153,49,362
154,49,373
155,49,307
156,49,0
157,49,294
158,49,162
159,49,88
160,49,33
161,49,173
162,49,22
163,49,316
164,50,118
165,51,313
166,53,72
167,53,287
168,53,185
169,54,263
170,54,55
171,54,186
172,54,43
173,55,10
174,55,21
175,55,32
176,55,43
177,55,54
178,55,65
179,55,76
180,55,109
181,55,120
182,55,153
183,55,164
184,55,175
185,55,186
186,55,197
187,55,208
188,55,241
189,55,252
190,55,263
191,55,274
192,55,285
193,55,296
194,55,307
195,55,318
196,55,329
197,55,340
198,55,362
199,55,373
200,55,384
201,55,395
202,55,406
203,55,417
204,55,439
205,55,63
206,55,162
207,55,179
208,56,221
209,57,313
210,57,46
211,58,366
212,58,377
213,58,80
214,58,47
215,58,168
216,58,14
217,58,333
218,58,421
219,58,344
220,58,135
221,58,256
222,58,322
223,58,157
224,58,311
225,58,124
226,58,201
227,58,212
228,59,4
229,59,246
230,59,213
231,59,103
232,59,334
233,59,114
234,59,301
235,59,312
236,59,92
237,59,290
238,59,345
239,59,367
240,59,378
241,59,169
242,59,147
243,61,171
244,61,314
245,62,349
246,62,397
247,62,56
248,64,119
249,64,317
250,66,56
251,66,173
252,66,307
253,66,349
254,66,397
255,66,77
256,66,22
257,67,16
258,69,334
259,69,302
260,69,4
261,69,256
262,69,421
263,69,333
264,69,80
265,69,245
266,69,157
267,69,147
268,69,168
269,69,201
270,69,36
271,69,388
272,69,91
273,69,135
274,69,102
275,69,179
276,70,444
277,70,191
278,70,290
279,70,279
280,70,246
281,70,147
282,70,37
283,70,224
284,70,158
285,71,5
286,71,173
287,72,38
288,72,369
289,72,380
290,72,53
291,74,66
292,74,33
293,74,88
294,74,338
295,74,228
296,74,173
297,74,349
298,74,397
299,75,174
300,75,306
301,75,317
302,77,109
303,77,252
304,77,263
305,77,149
306,78,313
307,78,89
308,78,247
309,78,265
310,78,133
311,78,276
312,80,366
313,80,377
314,80,58
315,80,147
316,80,388
317,80,245
318,80,432
319,80,14
320,80,102
321,80,344
322,80,421
323,80,212
324,80,124
325,80,333
326,80,157
327,80,234
328,80,201
329,80,355
330,80,311
331,80,47
332,80,135
333,80,399
334,80,91
335,80,69
336,80,278
337,80,36
338,80,322
339,80,168
340,80,179
341,80,256
342,81,191
343,81,37
344,81,147
345,81,169
346,81,179
347,81,235
348,81,345
349,81,213
350,81,125
351,81,334
352,81,59
353,81,246
354,81,268
355,81,92
356,81,290
357,81,367
358,81,378
359,81,312
360,81,301
361,82,225
362,83,425
363,83,316
364,83,118
365,83,303
366,83,173
367,83,171
368,86,361
369,88,74
370,88,203
371,88,327
372,88,329
373,88,423
374,88,424
375,88,241
376,88,252
377,90,35
378,91,313
379,91,302
380,91,399
381,91,124
382,91,421
383,91,333
384,91,80
385,91,388
386,91,179
387,91,69
388,91,256
389,91,157
390,91,47
391,91,36
392,91,322
393,91,366
394,91,377
395,91,135
396,91,311
397,91,168
398,92,444
399,92,81
400,92,301
401,92,125
402,92,191
403,92,235
404,92,59
405,92,312
406,92,268
407,92,290
408,92,345
409,92,367
410,92,378
411,92,224
412,92,169
413,92,355
414,92,147
415,93,241
416,93,84
417,94,185
418,95,323
419,95,268
420,97,416
421,97,196
422,97,427
423,97,361
424,97,108
425,97,328
426,98,77
427,98,241
428,98,72
429,98,22
430,98,33
431,98,66
432,98,55
433,98,88
434,98,115
435,98,316
436,99,89
437,99,263
438,101,112
439,102,302
440,102,432
441,102,147
442,102,399
443,102,14
444,102,256
445,102,80
446,102,157
447,102,344
448,102,168
449,102,124
450,102,201
451,102,421
452,102,333
453,102,3
454,102,234
455,102,47
456,102,322
457,102,69
458,104,173
459,104,424
460,104,303
461,105,263
462,107,203
463,107,302
464,107,252
465,107,72
466,107,263
467,107,49
468,107,446
469,108,251
470,109,10
471,109,302
472,109,274
473,109,191
474,109,299
475,109,173
476,109,407
477,109,66
478,109,217
479,110,313
480,112,302
481,113,245
482,113,36
483,113,25
484,113,302
485,113,135
486,113,311
487,113,267
488,113,399
489,113,322
490,113,355
491,113,168
492,113,333
493,113,58
494,113,80
495,114,312
496,114,389
497,114,103
498,114,59
499,115,10
500,115,203
501,115,302
502,115,109
503,115,63
504,115,252
505,116,241
506,116,302
507,117,442
508,117,288
509,118,226
510,118,83
511,120,55
512,120,162
513,120,115
514,120,241
515,122,313
516,122,302
517,122,144
518,122,287
519,124,302
520,124,411
521,124,136
522,124,125
523,124,80
524,124,344
525,124,113
526,124,201
527,124,91
528,124,421
529,124,322
530,124,256
531,124,333
532,124,58
533,124,399
534,124,102
535,124,179
536,124,212
537,124,47
538,124,311
539,124,223
540,125,81
541,125,333
542,125,201
543,125,179
544,125,411
545,125,323
546,125,322
547,125,312
548,125,92
549,125,355
550,125,257
551,125,124
552,125,47
553,125,421
554,125,4
555,128,302
556,128,241
557,128,340
558,129,303
559,130,361
560,130,97
561,130,42
562,130,31
563,131,302
564,131,55
565,131,16
566,131,314
567,132,16
568,134,189
569,134,385
570,134,112
571,134,302
572,135,345
573,135,14
574,135,256
575,135,80
576,135,147
577,135,58
578,135,333
579,135,234
580,135,168
581,135,421
582,135,179
583,135,157
584,135,201
585,135,36
586,135,322
587,135,102
588,135,69
589,135,366
590,135,377
591,135,91
592,135,355
593,135,47
594,135,223
595,135,311
596,136,302
597,136,103
598,136,246
599,136,279
600,136,124
601,136,367
602,136,378
603,136,432
604,136,235
605,136,4
606,136,147
607,139,302
608,139,447
609,139,359
610,141,273
611,141,416
612,141,306
613,141,152
614,141,9
615,141,130
616,141,218
617,143,132
618,146,302
619,147,190
620,147,158
621,147,47
622,147,213
623,147,26
624,147,367
625,147,378
626,147,92
627,149,115
628,149,203
629,149,263
630,150,16
