,0,1
0,0,11
1,0,33
2,0,44
3,0,55
4,0,66
5,0,77
6,0,88
7,0,99
8,0,110
9,0,121
10,0,143
11,0,154
12,0,165
13,0,176
14,0,187
15,0,198
16,0,209
17,0,220
18,0,231
19,0,253
20,0,264
21,0,275
22,0,286
23,0,297
24,0,319
25,0,330
26,0,341
27,0,352
28,0,363
29,0,374
30,0,385
31,0,407
32,0,418
33,0,52
34,0,440
35,0,67
36,1,23
37,1,34
38,1,45
39,1,56
40,1,67
41,1,78
42,1,89
43,1,100
44,1,111
45,1,122
46,1,133
47,1,144
48,1,155
49,1,166
50,1,177
51,1,188
52,1,199
53,1,210
54,1,221
55,1,243
56,1,254
57,1,265
58,1,276
59,1,298
60,1,309
61,1,320
62,1,342
63,1,353
64,1,364
65,1,375
66,1,386
67,1,397
68,1,408
69,1,419
70,1,430
71,1,441
72,1,38
73,2,13
74,2,35
75,2,46
76,2,68
77,2,79
78,2,90
79,2,101
80,2,112
81,2,123
82,2,145
83,2,156
84,2,167
85,2,178
86,2,189
87,2,200
88,2,211
89,2,222
90,2,233
91,2,244
92,2,255
93,2,266
94,2,277
95,2,288
96,2,310
97,2,321
98,2,332
99,2,343
100,2,354
101,2,365
102,2,376
103,2,387
104,2,398
105,2,409
106,2,420
107,2,431
108,2,442
109,2,67
110,3,14
111,3,25
112,3,36
113,3,47
114,3,58
115,3,69
116,3,80
117,3,91
118,3,102
119,3,113
120,3,124
121,3,135
122,3,146
123,3,157
124,3,168
125,3,179
126,3,190
127,3,212
128,3,223
129,3,234
130,3,245
131,3,256
132,3,267
133,3,278
134,3,289
135,3,300
136,3,311
137,3,322
138,3,333
139,3,344
140,3,355
141,3,366
142,3,377
143,3,388
144,3,399
145,3,410
146,3,421
147,3,432
148,3,443
149,4,15
150,4,26
151,4,37
152,4,59
153,4,70
154,4,81
155,4,92
156,4,114
157,4,125
158,4,136
159,4,147
160,4,180
161,4,191
162,4,202
163,4,213
164,4,224
165,4,246
166,4,257
167,4,268
168,4,279
169,4,290
170,4,301
171,4,312
172,4,323
173,4,334
174,4,345
175,4,356
176,4,367
177,4,389
178,4,400
179,4,411
180,4,422
181,4,433
182,4,444
183,5,16
184,5,27
185,5,38
186,5,49
187,5,60
188,5,71
189,5,82
190,5,93
191,5,115
192,5,126
193,5,137
194,5,159
195,5,170
196,5,192
197,5,203
198,5,214
199,5,236
200,5,247
201,5,258
202,5,269
203,5,291
204,5,302
205,5,313
206,5,324
207,5,335
208,5,346
209,5,357
210,5,368
211,5,379
212,5,10
213,5,390
214,5,401
215,5,412
216,5,423
217,5,445
218,5,59
219,5,254
220,5,343
221,5,67
222,5,61
223,5,298
224,5,39
225,5,314
226,5,382
227,5,154
228,6,17
229,6,7
230,6,28
231,6,39
232,6,50
233,6,61
234,6,8
235,6,72
236,6,94
237,6,116
238,6,127
239,6,138
240,6,149
241,6,160
242,6,171
243,6,182
244,6,204
245,6,215
246,6,226
247,6,248
248,6,270
249,6,281
250,6,292
251,6,303
252,6,314
253,6,325
254,6,9
255,6,336
256,6,347
257,6,358
258,6,369
259,6,380
260,6,391
261,6,402
262,6,413
263,6,424
264,6,446
265,6,302
266,6,59
267,6,272
268,6,151
269,7,18
270,7,29
271,7,40
272,7,51
273,7,62
274,7,73
275,7,84
276,7,95
277,7,106
278,7,164
279,7,117
280,7,128
281,7,139
282,7,150
283,7,161
284,7,172
285,7,194
286,7,205
287,7,216
288,7,227
289,7,238
290,7,249
291,7,260
292,7,271
293,7,282
294,7,293
295,7,304
296,7,315
297,7,337
298,7,348
299,7,359
300,7,381
301,7,392
302,7,403
303,7,414
304,7,425
305,7,436
306,7,447
307,7,6
