,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,0.0,1.2017340464824893e+18,1390742575.0,1.214379140977066e+18,632110908.0,1.2205732373036278e+18,1.220575221280723e+18,1.1654230615012762e+18,1.1731847038655816e+18,1.219894082148823e+18,9.741097900990628e+17,2556824534.0,1.1507340603454464e+18,1.1988312120657388e+18,1.2189342728803082e+18,9.990934125140378e+17,763171922.0,1.1637141858233098e+18,1389326594.0,1.0839807684711793e+18,2994528534.0,1.2123213443579904e+18,1.2076152598815334e+18,1.2127314402127872e+18,185096007.0,142560637.0,1.0034128186478469e+18,1.2196257532073615e+18,1.2179824176186573e+18,1.2205417915411538e+18,1.2129751874585723e+18,8.171361364263772e+17,7.012013095888118e+17,1.102188316194046e+18,1.2137046559238595e+18,1.0721989595762442e+18,337203163.0,1.2156135830793298e+18,1.2104782533846835e+18,74708225.0,1.2083350908051374e+18,3253513789.0,91834334.0,1.220583215183749e+18,1.2203481986461737e+18,1.1706197842387026e+18,1.1841963854128005e+18,1.1427633589086044e+18,1.0688557091298263e+18,1.2130785325421978e+18,2582339204.0,1.0628840913542144e+18,1.1274689337604465e+18,1.2206237159367844e+18,1.1010644780141363e+18,1.1862298001903493e+18,265297578.0,466124043.0,1.220298951842132e+18,9.096163636054426e+17,535863659.0,122785662.0,3016095877.0,9.209289365397217e+17,267149101.0,8.550385537214956e+17,453992668.0,146099550.0,9.725420725435884e+17,209637292.0,2367963025.0,19752268.0,8.86580720176554e+17,1.2134408849827308e+18,2236174860.0,112036705.0,1.1572766867207619e+18,1.1981432242645852e+18,7.733852032596787e+17,1.2199939640291738e+18,1.1732812079219384e+18,3005681394.0,1.220184696610386e+18,1.1887807563209687e+18,1.1996638746785137e+18,1.2093021873455063e+18,1.1845123694618706e+18,1.2163188532164936e+18,1.214496203506901e+18,1.2156175670349373e+18,1.2152545764560568e+18,1.215617315791868e+18,1.216627780063912e+18,1.2136527995498865e+18,1.214495918009045e+18,1.2152543513227796e+18,1.215618588096303e+18,1.2159904366631363e+18,1.2174389456187105e+18,1.2156177882340966e+18,1.1978201001930506e+18,1.0851473037304996e+18,1.1735453156533453e+18,779457476.0,2422270658.0,1.1605544267020206e+18,1.1228479341759611e+18,7.014002234745283e+17,1.2203323835613716e+18,1.159035072667775e+18,1.0267250084610335e+18,1.0949630914088059e+18,8.522818031172813e+17,1.091892408541823e+18,1186395128.0,8.992040638619853e+17,148989346.0,1.2203169744518062e+18,1.220320007579525e+18,446232319.0,8.678370911488164e+17,1.2202942676434493e+18,7.446970743320084e+17,113209378.0,9.863663734115369e+17,1.0996295113756508e+18,1.1676000921921987e+18,1.2059020294716744e+18,978143868.0,245556007.0,1.2203004150754058e+18,1.0669861206326272e+18,80458844.0,39014750.0,9.643995711314985e+17,1.212225001258025e+18,93604002.0,133093117.0,1.2161357557449933e+18,142127051.0,1.0393253142355558e+18,9.85007886433534e+17,1.1574504131524526e+18,1.2201154974772347e+18,8.612218581752095e+17,9.703599971073352e+17,1.220125324572156e+18,1.2141821962918953e+18,1.179275967337943e+18,7.78012325525672e+17,133961342.0,1.2201707846786294e+18,553665240.0,1.0479718497982218e+18,1.1181503302465454e+18,1.094092992405631e+18,2849541744.0,1.174893484156674e+18,1.1257364036423803e+18,1.220223081165181e+18,1.220128355325866e+18,1.1441470973582336e+18,1.2202252596950385e+18,157191866.0,1.1370748206574715e+18,87173461.0,820893572.0,1.2201361379282698e+18,499766953.0,1.2203122040560026e+18,7.097358162689393e+17,1.2203378858254705e+18,1.2123850253808968e+18,1.2203301601692426e+18,275580380.0,1.2203506769091912e+18,1.132933934625448e+18,8.94027148020691e+17,1.208414755527938e+18,8.274477711374008e+17,1.177588586771669e+18,1.003983473399382e+18,7.945794827072717e+17,59467443.0,2955453343.0,195270517.0,9.166326087374438e+17,1.1499483256779366e+18,7.610094844623299e+17,9.699026622367826e+17,198523569.0,1497926370.0,1.170879434791932e+18,1.1823176085587108e+18,9.634048320726385e+17,1.1270016014056776e+18,2440198489.0,9.980545779067126e+17,2270159143.0,1.1557629847837696e+18,1.1376541047742341e+18
1,0.0,8.713939841107067e+17,584517388.0,7.494525400522711e+17,171825810.0,7.121855286830694e+17,333200351.0,104804371.0,277776216.0,587143094.0,251983675.0,1.1037091001503826e+18,110984908.0,126245062.0,112642364.0,273916075.0,409660543.0,75917307.0,116351928.0,3369118700.0,97226372.0,9.20714180637868e+17,124899171.0,3178321094.0,1.1908200125057188e+18,259616176.0,249658499.0,68879350.0,1.0863464331821302e+18,9.576027655465779e+17,475586772.0,1.1607178652735898e+18,40383473.0,2865373087.0,14696999.0,323150813.0,4308985763.0,1183019538.0,101668322.0,97611219.0,3254320086.0,43502144.0,58710938.0,9.860716942709146e+17,272869724.0,9.515839099799593e+17,158513860.0,3301552454.0,42565355.0,869337823.0,200755133.0,3271312934.0,5978352.0,407585199.0,1.1680995878499983e+18,104388107.0,160079205.0,1.126269399759872e+18,7.407065735052984e+17,49284363.0,1614873955.0,1.1825566491200758e+18,74693025.0,332805479.0,1518901116.0,1281455113.0,2283569126.0,95805137.0,193154028.0,8.574589866851451e+17,1.003917210639786e+18,285030234.0,440940085.0,12723632.0,14146146.0,108545564.0,1.1315460323685786e+18,157176627.0,1.0001909646049772e+18,60302613.0,8.082108990602035e+17,43060945.0,87183575.0,1339849832.0,2896590650.0,151018026.0,3246213913.0,14104155.0,6052602.0,66101788.0,9.010330189990216e+17,15891252.0,79927846.0,221007838.0,168475680.0,8.843433484750438e+17,124971934.0,9.222154244308337e+17,1.1723085502169088e+18,8.477178807538688e+17,1.16690632360414e+18,9.553093978607862e+17,9.302878242549105e+17,155113742.0,291000673.0,173103350.0,553799921.0,152888015.0,149485083.0,1.16564278414703e+18,481944565.0,2958967291.0,8.717752408415478e+17,192211885.0,1.1449525692796314e+18,23917052.0,9.268199896251023e+17,432517297.0,127443215.0,1.0221136374088868e+18,1.0952769210955653e+18,139692570.0,1705992864.0,1.1563557270588457e+18,1.1172731801947914e+18,1318611787.0,1.1367894976417464e+18,1.0503974923348419e+18,1.1438515206365512e+18,1.1459722331955159e+18,599536606.0,9.496322532267254e+17,1.1496916469188403e+18,1.1288062815510487e+18,8.137406455001006e+17,237502255.0,1.1049269101931028e+18,18860029.0,9.28901075200983e+17,7.117787977799803e+17,518486246.0,1.031565286665728e+18,88773687.0,147069503.0,1.0227916603070095e+18,259631834.0,100728278.0,149801521.0,128483236.0,143007205.0,1.0631039610313032e+18,532146565.0,404082704.0,96960186.0,358115750.0,52698764.0,2975647474.0,201111989.0,86465953.0,1.1094753603981517e+18,8.386648991148892e+17,1.0641368825256305e+18,66080438.0,1.0220804450668831e+18,216743977.0,4041815652.0,9.186223325323059e+17,2705809879.0,8.42943996582273e+17,7.330578558094131e+17,3293646758.0,8.057667505957929e+17,1.0762877687691223e+18,219575135.0,1251090901.0,2392698272.0,2615184174.0,1.0889621015974994e+18,1.1180588941550797e+18,3231103580.0,742896408.0,9.701961194592133e+17,144900880.0,15934908.0,2711455958.0,1088566663.0,566507415.0,2835846895.0,103760641.0,5353462.0,332569094.0,1.0543719501458596e+18,3185178337.0,1.1202749126214205e+18,9.628647265552466e+17,253371417.0,14487986.0,9.656273471425085e+17,572550527.0,233998581.0,171528725.0
2,0.0,1.2106010550308905e+18,1.2190087155939328e+18,7.705270600579154e+17,1.1797229964846735e+18,1.1351092638591754e+18,2312664102.0,1.2172873951559598e+18,1.1623337995662828e+18,1.1929235229111992e+18,1.1018078801796588e+18,1.168233295701635e+18,1.1779602521189294e+18,1.1706448381333217e+18,1.1467578490846167e+18,1.1949396024836014e+18,9.591728576484598e+17,1.1902413827465585e+18,1.1668497231870935e+18,1.188034687123329e+18,1.1594530869868626e+18,1.2011152264620114e+18,3097096286.0,1.0435578341793382e+18,1.1923414353930445e+18,1.1380624008950866e+18,1.1811615013247918e+18,1.0806289645513851e+18,1.1078595221256151e+18,1.1938055007368888e+18,1.144233372903809e+18,1.1855230192061563e+18,1.0997071050936402e+18,1.1959859697253376e+18,1.1622095825900012e+18,1.1427888417465139e+18,1.1299677344967434e+18,1.1505818979923927e+18,1.184779882183553e+18,1.0659722631769498e+18,1.1908953259149066e+18,1.1900033413103247e+18,1.1836355328000696e+18,1.1883681909983437e+18,1.1515951876399677e+18,1.1912011459448259e+18,1.1590943837334036e+18,1.1213182088692859e+18,1.17883427902063e+18,1.0597299624862925e+18,1.1658836563064463e+18,1.19732018455962e+18,1.1940361701805916e+18,1.1908688900934164e+18,1.1992367992870666e+18,1.2152710151078134e+18,1.010527024568361e+18,1157518225.0,972266642.0,2833370773.0,1.157941069004202e+18,1.150605001472897e+18,1.0025017072788726e+18,1.1978417458258084e+18,1.1658351967818875e+18,1.1626844886288835e+18,1.1177431827189842e+18,1.2018363140788265e+18,1.1097468542567383e+18,1.05873423972463e+18,7.60260196241322e+17,9.358481723032166e+17,1.1956385412728013e+18,1.1989780892643779e+18,1.2032070723738214e+18,1.1968158221292667e+18,1.0804410074921615e+18,1.0521890902741934e+18,1.213681451855536e+18,1439839268.0,1.2116599196880282e+18,7.567675455462441e+17,1.1718571642535813e+18,1.2138327628571566e+18,1.0862496185794519e+18,765664104.0,1.0651042706413896e+18,1.2092730905190769e+18,1.1462976660344422e+18,115182950.0,1.1950034193390838e+18,1.1057092368503153e+18,1.176096251063849e+18,1.1104851524869407e+18,1.197145138750845e+18,1.1456257161526477e+18,1.2090083977076654e+18,8.99079213944152e+17,9.071225242944922e+17,1.1988779199735316e+18,1.1032093948403835e+18,1.2047096598204908e+18,1.1369394964176118e+18,1.1093372549404385e+18,1.10165040550989e+18,1.1393048248794972e+18,1.1020937756214354e+18,1.1923999956908646e+18,1.1916428206893138e+18,1.1999566253116826e+18,1.140097849960489e+18,1.1633023495546388e+18,1.1089275626111918e+18,1.2061045803893883e+18,1.1477512252841288e+18,1.146415999740072e+18,1.1351711039727165e+18,1.0641292531118162e+18,1.1828123980815688e+18,1.1934897901942129e+18,1.1598813034554819e+18,1.1126165699751076e+18,1.1459785041120666e+18,8.042455809353482e+17,9.854979818173153e+17,1.0093667124775526e+18,1.1181514722170716e+18,1.2054146954793e+18,1.2061931832284324e+18,9.202889090571469e+17,1.2065097528317338e+18,1.090264698333782e+18,1.0822724645062574e+18,1.0994795777792696e+18,1.1873262378211328e+18,1.0655249161060925e+18,9.773925931253228e+17,1.0657765597667246e+18,9.887115490354668e+17,1.0263880530052219e+18,4718405960.0,1.186393098395345e+18,1.0248691385046712e+18,1.1823805273423462e+18,1.1376786504871895e+18,9.977593554778685e+17,1.184865190203949e+18,1.1034880378187858e+18,1.0867744731795538e+18,1.1973991360703324e+18,1280165778.0,1.1788990188872663e+18,9.149520426149478e+17,1.166272713842815e+18,7.005139877843886e+17,1.1195284706089247e+18,1.0959468073417646e+18,8.924268845411738e+17,1.106927390205182e+18,1.1685145525745336e+18,1.1531742820143186e+18,1.1014716670317036e+18,1.1332632182840156e+18,1.1043879018470892e+18,1.1909628248575754e+18,1.1730343033845023e+18,9.665030270655939e+17,1.0691824206566072e+18,416210609.0,320136248.0,1.1645462696346296e+18,8.791907572522844e+17,1.1675632271122104e+18,1.1862217812431544e+18,2197782548.0,1.056850009998549e+18,121475073.0,1.1759382766721966e+18,1.1104648048067502e+18,1.1651292125853983e+18,1.1478831277018317e+18,1.1116329332432445e+18,1.1734012349689938e+18,1.1705200170723533e+18,1.1795687402889748e+18,1.1739421869178102e+18,1.1692644642747064e+18,1.1602045391416074e+18,1.0762547829715558e+18,1.176522922187346e+18,1.163042400031273e+18,1.1635945560608154e+18,1.1605280403188163e+18,1.1557460984361165e+18,1.1737774960780288e+18,1.1750294928231506e+18,1.1422913386138173e+18,1.1781583438791598e+18,1.1703088650086523e+18,1.173892433827922e+18,1.1411005612084511e+18
10,3251082536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,110970126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.15391576267273e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
